problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,SOLAR+AC0-Inc,0,55,614857,599795,15958859,116052992,0,0,0,0,599795,15958859,116052992,0,0,0,0,599795,15958859,116052992,0,0,0,0,599795,15958859,116052992,0,0,0,0
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar+AC0-Carc,0,55,613686,599760,15509755,112625664,0,0,0,0,599760,15509755,112625664,0,0,0,0,599760,15509755,112625664,0,0,0,0,599760,15509755,112625664,0,0,0,0
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar,0,58,616329,599732,20373136,149061632,0,0,0,0,599732,20373136,149061632,0,0,0,0,599732,20373136,149061632,0,0,0,0,599732,20373136,149061632,0,0,0,0
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,2,1168,245,206,923,0,0,8,14,222,191,876,0,0,5,10,23,15,47,0,0,3,4,23,15,47,0,0,5,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,10,1158,233,206,923,0,0,6,22,220,191,876,0,0,4,20,13,15,47,0,0,2,2,13,15,47,0,0,2,2
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,10,1138,294,206,923,0,0,6,24,273,191,876,0,0,3,20,21,15,47,0,0,3,4,21,15,47,0,0,3,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-NewAsync,0,10,2144,917,235,1048,0,0,141,148,591,191,876,0,0,136,144,326,44,172,0,0,5,4,326,44,172,0,0,5,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,2,1162,119,14,52,0,0,18,11,80,4,18,0,0,9,8,10,3,10,0,0,3,1,17,4,18,0,0,9,8
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-NewAsync,0,2,1206,90,13,50,0,0,23,20,56,4,18,0,0,8,8,11,2,7,0,0,5,4,11,4,18,0,0,8,8
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1208,112,12,46,0,0,18,8,66,4,18,0,0,9,4,9,2,7,0,0,3,1,13,4,18,0,0,3,2
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,1,1192,90,12,46,0,0,18,8,65,4,18,0,0,9,4,6,2,7,0,0,3,1,8,4,18,0,0,3,2
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,1,1186,103,13,49,0,0,17,11,68,4,18,0,0,5,4,7,2,7,0,0,4,2,17,4,18,0,0,4,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,2,1140,103,14,52,0,0,20,20,74,4,18,0,0,5,8,9,3,10,0,0,5,4,9,4,18,0,0,5,8
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-1+AC0-3+AC0-0,0,1,1215,108,13,49,0,0,16,11,90,4,18,0,0,5,4,5,3,10,0,0,3,2,8,4,18,0,0,3,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-1+AC0-0,0,1,1152,102,13,49,0,0,15,11,72,4,18,0,0,5,4,7,2,7,0,0,3,2,8,4,18,0,0,3,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-1+AC0-0+AC0-2,0,1,1176,120,13,49,0,0,14,11,80,4,18,0,0,5,4,9,2,7,0,0,3,2,9,4,18,0,0,3,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-0+AC0-2+AC0-1,0,1,1216,86,13,49,0,0,14,11,66,4,18,0,0,5,4,5,3,10,0,0,3,2,9,4,18,0,0,3,4
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-2+AC0-3+AC0-0,0,1,1201,96,13,49,0,0,16,11,72,4,18,0,0,5,4,6,2,7,0,0,3,2,12,4,18,0,0,3,4
